City,2019 Population
"Salt Lake City, UT"," 200,662 "
"West Valley City, UT"," 138,359 "
"Provo, UT"," 122,103 "
"West Jordan, UT"," 119,510 "
"Orem, UT"," 106,997 "
"Sandy, UT"," 101,323 "
"Ogden, UT"," 90,844 "
"St. George, UT"," 88,885 "
"Layton, UT"," 80,368 "
"South Jordan, UT"," 76,597 "
"Lehi, UT"," 69,236 "
"Taylorsville, UT"," 60,490 "
"Logan, UT"," 53,445 "
"Murray, UT"," 49,425 "
"Herriman, UT"," 49,029 "
"Draper , UT"," 48,276 "
"Riverton, UT"," 45,862 "
"Bountiful, UT"," 45,068 "
"Spanish Fork, UT"," 41,330 "
"Pleasant Grove, UT"," 41,012 "
"Roy, UT"," 38,957 "
"Tooele, UT"," 35,682 "
"Springville, UT"," 35,165 "
"Eagle Mountain, UT"," 34,911 "
"Midvale, UT"," 34,496 "
"Cedar City, UT"," 34,490 "
"Cottonwood Heights, UT"," 34,273 "
"Kaysville, UT"," 33,649 "
"Syracuse, UT"," 31,515 "
"Saratoga Springs, UT"," 31,444 "
"Clearfield, UT"," 31,443 "
"Holladay, UT"," 30,885 "
"American Fork, UT"," 30,156 "
"Washington, UT"," 28,552 "
"Farmington, UT"," 24,943 "
"South Salt Lake, UT"," 24,492 "
"Clinton, UT"," 22,530 "
"North Salt Lake, UT"," 21,912 "
"Highland, UT"," 20,678 "
"Payson, UT"," 20,593 "
"North Ogden, UT"," 19,763 "
"Brigham City, UT"," 19,749 "
"Centerville, UT"," 18,555 "
"Hurricane, UT"," 18,193 "
"South Ogden, UT"," 17,532 "
"Heber, UT"," 17,009 "
"Bluffdale , UT"," 14,530 "
"West Haven, UT"," 13,577 "
"Santaquin , UT"," 12,547 "
"Smithfield, UT"," 12,271 "
"North Logan, UT"," 11,844 "
"Grantsville, UT"," 11,800 "
"Woods Cross, UT"," 11,582 "
"Lindon, UT"," 11,356 "
"West Point, UT"," 11,175 "
"Pleasant View, UT"," 11,108 "
"Alpine, UT"," 10,769 "
"Cedar Hills, UT"," 10,728 "
"Mapleton, UT"," 10,388 "
"Vernal, UT"," 9,382 "
"Washington Terrace, UT"," 9,333 "
"Hooper, UT"," 9,243 "
"Tremonton, UT"," 9,068 "
"Salem, UT"," 8,932 "
"Ivins, UT"," 8,918 "
"Riverdale, UT"," 8,851 "
"Park City , UT"," 8,758 "
"Price, UT"," 8,395 "
"Hyrum, UT"," 8,312 "
"Richfield, UT"," 8,239 "
"South Weber, UT"," 7,916 "
"Santa Clara, UT"," 7,749 "
"Ephraim, UT"," 7,705 "
"Nibley, UT"," 7,656 "
"Providence, UT"," 7,540 "
"Enoch, UT"," 7,477 "
"Farr West, UT"," 7,187 "
"Plain City, UT"," 7,084 "
"Harrisville, UT"," 6,889 "
"Roosevelt, UT"," 6,692 "
"Nephi, UT"," 6,549 "
"Fruit Heights, UT"," 6,440 "
"Vineyard, UT"," 6,260 "
"West Bountiful, UT"," 5,772 "
"Midway, UT"," 5,582 "
"Sunset, UT"," 5,342 "
"Perry, UT"," 5,305 "
"Moab, UT"," 5,299 "
"Hyde Park, UT"," 4,972 "
"Kanab, UT"," 4,964 "
"Blanding, UT"," 4,816 "
"Morgan, UT"," 4,436 "
"La Verkin, UT"," 4,414 "
"Elk Ridge, UT"," 4,180 "
"Wellsville, UT"," 3,804 "
"Manti, UT"," 3,600 "
"Delta, UT"," 3,584 "
"Mount Pleasant, UT"," 3,552 "
"Gunnison, UT"," 3,409 "
"Beaver, UT"," 3,189 "
"Parowan, UT"," 3,172 "
"Hildale, UT"," 3,005 "
"Richmond, UT"," 2,687 "
"Monticello, UT"," 2,678 "
"Garland, UT"," 2,639 "
"Salina, UT"," 2,635 "
"Fillmore, UT"," 2,494 "
"Monroe, UT"," 2,402 "
"Kamas, UT"," 2,265 "
"Helper, UT"," 2,077 "
"Millville, UT"," 2,061 "
"River Heights, UT"," 2,034 "
"Lewiston, UT"," 1,926 "
"Enterprise, UT"," 1,898 "
"Huntington, UT"," 1,897 "
"Willard, UT"," 1,896 "
"Naples, UT"," 1,896 "
"Mona, UT"," 1,851 "
"Marriott-Slaterville, UT"," 1,775 "
"Oakley, UT"," 1,714 "
"Toquerville, UT"," 1,712 "
"Woodland Hills, UT"," 1,665 "
"Panguitch, UT"," 1,659 "
"Honeyville, UT"," 1,651 "
"Genola, UT"," 1,622 "
"Francis, UT"," 1,605 "
"Duchesne, UT"," 1,605 "
"Wellington, UT"," 1,597 "
"Moroni, UT"," 1,572 "
"East Carbon-Sunnyside, UT"," 1,539 "
"Coalville, UT"," 1,526 "
"Mendon, UT"," 1,500 "
"Centerfield, UT"," 1,500 "
"Castle Dale, UT"," 1,468 "
"Ferron, UT"," 1,459 "
"Milford, UT"," 1,438 "
"Wendover, UT"," 1,431 "
"Fairview, UT"," 1,366 "
"Uintah, UT"," 1,351 "
"Orangeville, UT"," 1,333 "
"Fountain Green, UT"," 1,173 "
"Elwood, UT"," 1,104 "
"Spring City, UT"," 1,086 "
"Aurora, UT"," 1,082 "
"Daniel, UT"," 1,082 "
"Hideout, UT"," 1,004 "
"Paradise, UT", 986 
"Levan, UT", 976 
"Ballard, UT", 972 
"Goshen, UT", 964 
"Mantua, UT", 951 
"Minersville, UT", 947 
"Bear River City, UT", 926 
"Rocky Ridge, UT", 899 
"Elsinore, UT", 893 
"Henefer, UT", 892 
"Green River, UT", 892 
"Leeds, UT", 885 
"Newton, UT", 845 
"Annabella, UT", 836 
"Apple Valley, UT", 805 
"Escalante, UT", 784 
"Clarkston, UT", 765 
"Redmond, UT", 749 
"Corinne, UT", 733 
"Eureka, UT", 727 
"Hinckley, UT", 704 
"Oak City, UT", 668 
"Stockton, UT", 665 
"Huntsville, UT", 638 
"Garden City, UT", 620 
"Virgin, UT", 620 
"Springdale, UT", 612 
"Orderville, UT", 612 
"Central Valley, UT", 579 
"Myton, UT", 579 
"Loa, UT", 567 
"Mayfield, UT", 561 
"Paragonah, UT", 556 
"Amalga, UT", 534 
"Trenton, UT", 530 
"Big Water, UT", 519 
"Tropic, UT", 503 
"Glenwood, UT", 491 
"Rush Valley, UT", 491 
"Plymouth, UT", 488 
"Fielding, UT", 483 
"Charleston, UT", 483 
"Randolph, UT", 475 
"Kanosh, UT", 460 
"Sigurd, UT", 456 
"Circleville, UT", 450 
"Cleveland, UT", 424 
"Kanarraville, UT", 408 
"Cedar Fort, UT", 407 
"Marysvale, UT", 403 
"Glendale, UT", 394 
"Elmo, UT", 387 
"Alta, UT", 387 
"Wallsburg, UT", 385 
